WindID,SeriesID,SeriesName
M5201395,限额以上企业商品零售总额:当月同比,
M5201399,限额以上企业餐饮收入总额:当月同比,
M5405526,社会消费品零售总额:实际当月同比,
M0061573,社零消费环比增速,社会消费品零售总额:环比:季调
M0001427,社零消费,社会消费品零售总额:当月值
M5201390,限额以上社零消费,限额以上企业消费品零售总额:当月值
consumption_below,限额以下社零消费,
M0045744,汽车零售额,零售额:汽车类:当月值
M0045737,石油制品零售额,零售额:石油及制品类:当月值
M0061656,餐饮收入,社会消费品零售总额:餐饮收入:当月值
M0045728,家用电器销售,零售额:家用电器和音响器材类:当月值
M0045734,通讯器材销售,零售额:通讯器材类:当月值
M0012303,消费者信心指数,消费者信心指数(月)
M0073698,零售额:粮油、食品类:当月同比,
M0073701,零售额:饮料类:当月同比,
M0073702,零售额:烟酒类:当月同比,
M0001456,零售额:服装鞋帽针纺织品类:当月同比,
M0001464,零售额:化妆品类:当月同比,
M0001465,零售额:金银珠宝类:当月同比,
M0001460,零售额:日用品类:当月同比,
M0001461,零售额:家用电器和音像器材类:当月同比,
M0073705,零售额:中西药品类:当月同比,
M0001458,零售额:文化办公用品类:当月同比,
M0001462,零售额:家具类:当月同比,
M0001466,零售额:通讯器材类:当月同比,
M0001468,零售额:石油及制品类:当月同比,
M0001467,零售额:汽车类:当月同比,
M0001463,零售额:建筑及装潢材料类:当月同比,
S6110754,乘用车零售同比,销量:零售:狭义乘用车:当月同比
S6110814,乘用车零售当月,销量:乘用车:狭义:零售:当月值
S6110813,乘用车批发当月,销量:乘用车:狭义:批发:当月值
S6126413,零售车当周日均,当周日均销量:乘用车:厂家零售
S6126411,批发车当周日均,当周日均销量:乘用车:厂家批发
S6604459,电影票房收入,电影票房收入
S6604460,电影观影人次,电影观影人次
S0036001,全国客运量当月,客运量总计:当月值
S0036011,全国货运量当月,货运量总计:当月值
S0036002,铁路客运量,铁路客运量:当月值
S0036003,公路客运量,公路客运量:当月值
S0036004,水运客运量,水运客运量:当月值
S0118855,民航周转量,民航总周转量:当月值
domestic_trade_auto,不含汽车的社零消费,
domestic_trade_auto_gas,不含汽车汽油的社零消费,
M5405763,农村外出务工劳动力人数:同比,
M5405765,农村外出务工劳动力:月均收入:同比,
M0007437,当期收入感受指数,
M0007438,未来收入信心指数,
M5207465,当期就业感受指数,
M5207466,未来就业预期指数,
M0007443,未来物价预期指数,
M0007448,更多消费占比,
M0007446,更多储蓄占比,
M5530629,更多投资占比,
M5650805,城镇调查失业率,
M5650806,31个大城市城镇调查失业率,
M7082071,就业人员调查失业率:16-24岁人口,
M6179512,就业人员调查失业率:25-59岁人口,
M5480389,城镇新增就业人数:累计值,
M5480390,城镇失业人员再就业人数:累计值,
M5480391,就业困难人员就业人数:累计值,
M0012988,城镇居民人均可支配收入:累计值,
M0012989,城镇居民人均可支配收入:累计同比,
M0012991,城镇居民人均消费性支出:累计值,
M0012992,城镇居民人均消费性支出:累计同比,
expenditure_rate,居民支出比率,
M5540105,社会消费品零售总额:实物商品网上零售额:累计值,
M5540106,社会消费品零售总额:实物商品网上零售额:累计同比,
价格数据,,
M0000612,CPI同比,CPI:当月同比
M0001022,RPI同比,RPI:当月同比
M0000616,CPI:食品:当月同比,
M0000613,CPI:非食品:当月同比,
M0085932,CPI:不包括食品和能源(核心CPI):当月同比,
M0000614,CPI:消费品:当月同比,
M0000615,CPI:服务:当月同比,
M0327903,CPI:食品烟酒:当月同比,
M0000628,CPI:衣着:当月同比,
M0000650,CPI:居住:当月同比,
M0000630,CPI:生活用品及服务:当月同比,
M0000637,CPI:交通和通信:当月同比,
M0000644,CPI:教育文化和娱乐:当月同比,
M0000633,CPI:医疗保健:当月同比,
M0000705,CPI环比,CPI:环比
M0000706,CPI食品环比,CPI:食品:环比
M0061581,CPI非食品环比,CPI:非食品:环比
M0085934,核心CPI环比,CPI:核心CPI:环比
M0061583,CPI消费品环比,CPI:消费品:环比
M0061585,CPI服务环比,CPI:服务:环比
M0327907,食品烟酒环比,CPI:食品烟酒:环比
M0068107,猪肉环比,CPI:食品烟酒:畜肉类:猪肉:环比
M0000708,衣着环比,CPI:衣着:环比
M0000713,居住环比,CPI:居住:环比
M0068121,房租环比,CPI:居住:租赁房房租:环比
M0068122,居住水电燃料环比,CPI:居住:水电燃料:环比
M0000711,交通通信环比,CPI:交通和通信:环比
M0327927,交通工具环比,CPI:交通和通信:交通工具:环比
M0068116,交通燃料环比,CPI:交通和通信:交通工具用燃料:环比
M0068118,通信工具环比,CPI:交通和通信:通信工具:环比
M0068171,通信服务环比,CPI:交通和通信:通信服务:环比
M0000712,教育文娱环比,CPI:教育文化和娱乐:环比
M0068172,教育服务环比,CPI:教育文化和娱乐:教育服务:环比
M0068119,旅游环比,CPI:教育文化和娱乐:旅游:环比
M0000710,医疗保健环比,CPI:医疗保健:环比
M0044542,CPI猪肉同比,CPI:食品烟酒:畜肉类:猪肉:同比
S0109325,生猪存栏同比,生猪存栏:同比
S0109324,生猪出栏同比,生猪出栏:同比
M0001227,PPI同比,PPI:全部工业品:当月同比
M0049160,PPI环比,PPI:全部工业品:环比
M0066329,PPI生产资料环比,PPI:生产资料:环比
M0066330,PPI:生产资料:采掘工业:环比,
M0066331,PPI:生产资料:原材料工业:环比,
M0066332,PPI:生产资料:加工工业:环比,
M0096793,煤炭开采,PPI:煤炭开采和洗选业:环比
M0096794,石油开采,PPI:石油和天然气开采业:环比
M0096811,石油加工,PPI:石油、煤炭及其他燃料加工业:环比
M0096812,化学制品,PPI:化学原料及化学制品制造业:环比
M0096815,非金属制品,PPI:非金属矿物制品业:环比
M0096816,黑色冶炼,PPI:黑色金属冶炼及压延加工业:环比
M0096817,有色冶炼,PPI:有色金属冶炼及压延加工业:环比
M0066333,PPI生活资料环比,PPI:生活资料:环比
M0066334,PPI:生活资料:食品类:环比,
M0066335,PPI:生活资料:衣着类:环比,
M0066336,PPI:生活资料:一般日用品类:环比,
M0066337,PPI:生活资料:耐用消费品类:环比,
S0000236,商务部农产品价格,食用农产品价格指数
S0248945,农业部农产品批发,农产品批发价格200指数
S5065106,猪肉批发价,平均批发价:猪肉
S5065109,鸡蛋批发价,平均批发价:鸡蛋
S5065110,白条鸡批发价,平均批发价:白条鸡
S5065111,28种蔬菜,平均批发价:28种重点监测蔬菜
S5065112,7种水果,平均批发价:7种重点监测水果
S0000274,商务部生产资料价格,生产资料价格指数
S0105896,南华综合指数,南华综合指数
S0105897,南华工业品指数,南华工业品指数
S0105898,南华农产品指数,南华农产品指数
S0105899,南华金属指数,南华金属指数
S0105900,南华能化指数,南华能化指数
S0200883,南华贵金属指数,南华贵金属指数
S0031525,布伦特原油,期货结算价(连续):布伦特原油
